id,task,downloads,likes,tags,description
onnx-community/ultravox-v0_5-llama-3_2-1b-ONNX,audio-text-to-text,385,7,"transformers.js, onnx, ultravox, audio-text-to-text, ar, be, bg, bn","If you haven't already, you can install the [Transformers.js](https://huggingface.co/docs/transformers.js) JavaScript library from [NPM](https://www.npmjs.com/package/@huggingface/transformers) using:"
tarn59/pixel_art_style_lora_z_image_turbo,text-to-image,43380,31,"diffusers, text-to-image, lora, template:diffusion-lora, base_model:Tongyi-MAI/Z-Image-Turbo, base_model:adapter:Tongyi-MAI/Z-Image-Turbo, license:apache-2.0, region:us",You should use `Pixel art style.` to trigger the image generation.
straino/jina-embeddings-v4-vllm-retrieval-Q5_K_M-GGUF,visual-document-retrieval,9,1,"transformers, gguf, vidore, colpali, multimodal-embedding, multilingual-embedding, Text-to-Visual Document (T→VD) retrieval, feature-extraction",This model was converted to GGUF format from [`jinaai/jina-embeddings-v4-vllm-retrieval`](https://huggingface.co/jinaai/jina-embeddings-v4-vllm-retrieval) using llama.cpp via the ggml.ai's [GGUF-my-re
facebook/roberta-hate-speech-dynabench-r4-target,text-classification,467555,98,"transformers, pytorch, safetensors, roberta, text-classification, en, arxiv:2012.15761, endpoints_compatible",The R4 Target model from [Learning from the Worst: Dynamically Generated Datasets to Improve Online Hate Detection](https://arxiv.org/abs/2012.15761)
GoodBaiBai88/M3D-CLIP,image-feature-extraction,5936,15,"transformers, safetensors, m3d_clip, feature-extraction, 3D medical CLIP, Image-text retrieval, image-feature-extraction, custom_code",M3D-CLIP is one of the works in the [M3D](https://github.com/BAAI-DCAI/M3D) series.
thoddnn/colqwen2-v1.0-mlx-4bit,visual-document-retrieval,58,0,"transformers, safetensors, colqwen2, pretraining, colpali, mlx, visual-document-retrieval, en",The Model [thoddnn/colqwen2-v1.0-mlx-4bit](https://huggingface.co/thoddnn/colqwen2-v1.0-mlx-4bit) was converted to MLX format from [vidore/colqwen2-v1.0-hf](https://huggingface.co/vidore/colqwen2-v1.0
tsystems/colqwen2-7b-v1.0-merged,visual-document-retrieval,3,0,"transformers, safetensors, qwen2_vl, multimodal-embedding, visual-document-retrieval, en, de, dataset:tattrongvu/vqa_de_en_batch1",ColQwen is a model based on a novel model architecture and training strategy based on Vision Language Models (VLMs) to efficiently index documents from their visual features.
openai/whisper-large,automatic-speech-recognition,84572,542,"transformers, pytorch, tf, jax, safetensors, whisper, automatic-speech-recognition, audio",Whisper is a pre-trained model for automatic speech recognition (ASR) and speech translation. Trained on 680k hours
Aisha-AI-Official/wan2.2-assisted-handjob,image-text-to-video,0,5,"lora, nsfw, image-text-to-video, base_model:Wan-AI/Wan2.2-I2V-A14B-Diffusers, base_model:adapter:Wan-AI/Wan2.2-I2V-A14B-Diffusers, region:us, not-for-all-audiences",The scene start with a woman posing.
qilowoq/bge-reranker-v2-m3-en-ru,text-ranking,2305,13,"sentence-transformers, safetensors, xlm-roberta, text-classification, transformers, text-embeddings-inference, text-ranking, en",This is a truncated version of [BAAI/bge-reranker-v2-m3](https://huggingface.co/BAAI/bge-reranker-v2-m3).
prs-eth/marigold-normals-v1-1,image-to-image,10956,6,"diffusers, safetensors, normals estimation, image analysis, computer vision, in-the-wild, zero-shot, image-to-image",This is a model card for the `marigold-normals-v1-1` model for monocular normals estimation from a single image.
ljw13/retro-star-qwen3-14b-0928,text-ranking,911,0,"transformers, safetensors, qwen3, text-generation, text-generation-inference, text-ranking, en, arxiv:2509.24869",> Retro*: Optimizing LLMs for Reasoning-Intensive Document Retrieval
Yiwen-ntu/MeshAnything,image-to-3d,55,14,"mesh-anything, image-to-3d, arxiv:2406.10163, region:us",- [6/17] 🔥🔥 We released the 350m version of **MeshAnything**.
sarvamai/shuka-1,audio-text-to-text,1444,85,"transformers, safetensors, shuka, feature-extraction, audio-text-to-text, custom_code, en, hi",`Shuka v1` is a language model which natively understands audio in Indic languages. It is an encoder-decoder model built by combining two models:
Dinh/videomae-small-finetuned-kinetics-finetuned-action-finetuned-ucf101-subset,video-classification,73,0,"transformers, pytorch, tensorboard, videomae, video-classification, endpoints_compatible, region:us",
Qwen/Qwen3.5-0.8B,image-text-to-text,2624241,498,"transformers, safetensors, qwen3_5, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-0.8B-Base, base_model:finetune:Qwen/Qwen3.5-0.8B-Base, license:apache-2.0",> This repository contains model weights and configuration files for the post-trained model in the Hugging Face Transformers format.
Xenova/face-parsing,image-segmentation,4505,9,"transformers.js, onnx, segformer, image-segmentation, base_model:jonathandinu/face-parsing, base_model:quantized:jonathandinu/face-parsing, region:us",https://huggingface.co/jonathandinu/face-parsing with ONNX weights to be compatible with Transformers.js.
mradermacher/Agent-STAR-RL-7B-i1-GGUF,reinforcement-learning,5872,1,"transformers, gguf, reinforcement-learning, tool-use, agent, travel-planner, en, base_model:xxwu/Agent-STAR-RL-7B",weighted/imatrix quants of https://huggingface.co/xxwu/Agent-STAR-RL-7B
tencent/Hunyuan3D-2mv,image-to-3d,1978,334,"hunyuan3d-2, image-to-3d, text-to-3d, en, zh, arxiv:2501.12202, arxiv:2411.02293, license:other","[//]: # (  <a href=# target=""_blank""><img src=https://img.shields.io/badge/Report-b5212f.svg?logo=arxiv height=22px></a>)"
unsloth/Qwen3.5-0.8B-GGUF,image-text-to-text,291071,133,"transformers, gguf, unsloth, image-text-to-text, base_model:Qwen/Qwen3.5-0.8B, base_model:quantized:Qwen/Qwen3.5-0.8B, license:apache-2.0, endpoints_compatible",- You can now also fine-tune the model locally with [Unsloth](https://github.com/unslothai/unsloth).
facebook/mask2former-swin-small-ade-semantic,image-segmentation,20231,8,"transformers, pytorch, safetensors, mask2former, vision, image-segmentation, dataset:coco, arxiv:2112.01527","Mask2Former model trained on ADE20k semantic segmentation (small-sized version, Swin backbone). It was introduced in the paper [Masked-attention Mask Transformer for Universal Image Segmentation"
lllyasviel/control_v11p_sd15_normalbae,image-to-image,8203,18,"diffusers, safetensors, art, controlnet, stable-diffusion, controlnet-v1-1, image-to-image, arxiv:2302.05543",**Controlnet v1.1** is the successor model of [Controlnet v1.0](https://huggingface.co/lllyasviel/ControlNet)
AgentPublic/camembert-base-squadFR-fquad-piaf,question-answering,1734,28,"transformers, pytorch, tf, safetensors, camembert, question-answering, fr, dataset:piaf","Question-answering French model, using base [CamemBERT](https://camembert-model.fr/) fine-tuned on a combo of three French Q&A datasets:"
meta-llama/Meta-Llama-3-8B,text-generation,3287503,6515,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3",
